1,Grupo A,Catar,Ecuador,22/11/20 13:00:00
2,Grupo A,Senegal,Paises Bajos,22/11/21 07:00:00
3,Grupo B,Inglaterra,Iran,22/11/21 10:00:00
4,Grupo B,USA,Gal|Esc|Ucr,22/11/21 16:00:00
5,Grupo C,Argentina,Arabia Saudita,22/11/22 07:00:00
6,Grupo D,Dinamarca,Tunez,22/11/22 10:00:00
7,Grupo C,Mexico,Polonia,22/11/22 13:00:00
8,Grupo D,Francia,Peru|EAU|Aus,22/11/22 16:00:00
9,Grupo F,Marruecos,Croacia,22/11/23 07:00:00
10,Grupo E,Alemania,Japon,22/11/23 10:00:00
11,Grupo E,España,CRica|NZelanda,22/11/23 13:00:00
12,Grupo F,Belgica,Canada,22/11/23 16:00:00
13,Grupo G,Suiza,Camerun,22/11/24 07:00:00
14,Grupo H,Uruguay,Corea del Sur,22/11/24 10:00:00
15,Grupo H,Portugal,Ghana,22/11/24 13:00:00
16,Grupo G,Brasil,Serbia,22/11/24 16:00:00
17,Grupo B,Gal|Esc|Ucr,Iran,22/11/25 07:00:00
18,Grupo A,Catar,Senegal,22/11/25 10:00:00
19,Grupo A,Paises Bajos,Ecuador,22/11/25 13:00:00
20,Grupo B,Inglaterra,USA,22/11/25 16:00:00
21,Grupo D,Tunez,Peru|EAU|Aus,22/11/26 07:00:00
22,Grupo C,Polonia,Arabia Saudita,22/11/26 10:00:00
23,Grupo D,Francia,Dinamarca,22/11/26 13:00:00
24,Grupo C,Argentina,Mexico,22/11/26 16:00:00
25,Grupo E,Japon,CRica|NZelanda,22/11/27 07:00:00
26,Grupo F,Belgica,Marruecos,22/11/27 10:00:00
27,Grupo F,Croacia,Canada,22/11/27 13:00:00
28,Grupo E,España,Alemania,22/11/27 16:00:00
29,Grupo G,Camerun,Serbia,22/11/28 07:00:00
30,Grupo H,Corea del Sur,Ghana,22/11/28 10:00:00
31,Grupo G,Brasil,Suiza,22/11/28 13:00:00
32,Grupo H,Portugal,Uruguay,22/11/28 16:00:00
33,Grupo A,Ecuador,Senegal,22/11/29 12:00:00
34,Grupo A,Paises Bajos,Catar,22/11/29 12:00:00
35,Grupo B,Iran,USA,22/11/29 16:00:00
36,Grupo B,Gal|Esc|Ucr,Inglaterra,22/11/29 16:00:00
37,Grupo D,Tunez,Francia,22/11/30 12:00:00
38,Grupo D,Peru|EAU|Aus,Dinamarca,22/11/30 12:00:00
39,Grupo C,Polonia,Argentina,22/11/30 16:00:00
40,Grupo C,Arabia Saudita,Mexico,22/11/30 16:00:00
41,Grupo F,Croacia,Belgica,22/12/01 12:00:00
42,Grupo F,Canada,Marruecos,22/12/01 12:00:00
43,Grupo E,Japon,España,22/12/01 16:00:00
44,Grupo E,CRica|NZelanda,Alemania,22/12/01 16:00:00
45,Grupo H,Corea del Sur,Portugal,22/12/02 12:00:00
46,Grupo H,Ghana,Uruguay,22/12/02 12:00:00
47,Grupo G,Serbia,Suiza,22/12/02 16:00:00
48,Grupo G,Camerun,Brasil,22/12/02 16:00:00